Genes,Amostra_ID,Grupo,Expressao
TP53,Ctrl_1,Controle,12.5
TP53,Ctrl_2,Controle,13.4
TP53,Ctrl_3,Controle,12.3
TP53,Ctrl_4,Controle,11.7
TP53,Ctrl_5,Controle,11.9
TP53,Ctrl_6,Controle,13.2
TP53,Ctrl_7,Controle,17.1
TP53,Ctrl_8,Controle,12.6
TP53,Ctrl_9,Controle,10.9
TP53,Ctrl_10,Controle,11.6
BRCA1,Ctrl_1,Controle,8.2
BRCA1,Ctrl_2,Controle,7.9
BRCA1,Ctrl_3,Controle,7.0
BRCA1,Ctrl_4,Controle,8.3
BRCA1,Ctrl_5,Controle,7.9
BRCA1,Ctrl_6,Controle,8.2
BRCA1,Ctrl_7,Controle,7.8
BRCA1,Ctrl_8,Controle,8.4
BRCA1,Ctrl_9,Controle,7.9
BRCA1,Ctrl_10,Controle,7.6
TP53,tumor_1,Tumor,3.8
TP53,tumor_2,Tumor,4.1
TP53,tumor_3,Tumor,3.5
TP53,tumor_4,Tumor,3.8
TP53,tumor_5,Tumor,4.0
TP53,tumor_6,Tumor,3.7
TP53,tumor_7,Tumor,4.3
TP53,tumor_8,Tumor,3.9
TP53,tumor_9,Tumor,3.9
TP53,tumor_10,Tumor,4.5
BRCA1,tumor_1,Tumor,14.5
BRCA1,tumor_2,Tumor,13.9
BRCA1,tumor_3,Tumor,26.0
BRCA1,tumor_4,Tumor,17.1
BRCA1,tumor_5,Tumor,11.3
BRCA1,tumor_6,Tumor,13.6
BRCA1,tumor_7,Tumor,14.6
BRCA1,tumor_8,Tumor,16.7
BRCA1,tumor_9,Tumor,14.3
BRCA1,tumor_10,Tumor,13.9
