tempo,x,y
1,0.4745,0.5973
2,0.7793,1.3695
3,1.2972,1.924
4,1.8285,2.2499
5,1.9649,2.4776
6,2.3649,2.475
7,3.0369,2.3466
8,3.3151,1.7061
9,3.5296,1.0942
10,4.0814,
11,4.3305,-0.5862
12,4.7301,-1.109
13,5.2363,-1.7134
14,5.313,-1.9326
15,5.7413,-2.4631
16,6.3157,-2.4603
17,6.6481,-2.318
18,7.2471,-2.0488
19,7.4638,-1.2624
20,7.7882,-0.6233
21,8.6198,0.1211
22,8.7661,0.6879
23,9.2101,1.5864
24,9.3863,1.844
25,9.9183,2.4037
26,10.4166,2.7154
27,10.6274,2.3257
28,11.2564,2.0799
29,11.5099,1.6674
30,11.9562,0.9799
31,12.3097,0.1561
32,,-0.429
33,13.198,-1.2501
34,13.4413,-1.7023
35,14.1234,-2.2912
36,14.2169,-2.2973
37,14.8313,-2.5647
38,14.906,-2.3305
39,15.4008,-1.8236
40,16.0295,-1.4645
41,16.5108,-0.6353
42,16.8257,0.2148
43,17.1827,0.6579
44,17.5548,1.4986
45,17.7782,2.0354
46,18.292,2.4374
47,18.7309,2.3746
48,19.3586,2.2821
49,19.6515,2.1666
50,19.7355,1.6554
51,20.4486,1.0169
52,20.7422,0.304
53,21.0985,-0.5451
54,21.6918,-1.1578
55,22.1546,-1.7502
56,22.5397,-2.2904
57,22.6741,-2.2736
58,23.1536,-2.4343
59,23.6497,-2.4006
60,24.1463,-1.8118
61,24.3281,-1.4032
62,24.7722,-0.5387
63,25.034,0.2419
64,25.4206,0.7762
65,26.1219,1.6102
66,26.6034,2.0755
67,26.7892,2.455
68,27.3505,2.6892
69,27.6542,2.3783
70,27.9032,2.0163
71,28.4542,1.5046
72,29.0307,0.8715
73,29.1946,0.2198
74,29.8347,-0.4842
75,29.607,-1.1903
76,30.5233,-1.726
77,30.8131,-2.2367
78,31.1551,-2.3219
79,31.6138,-2.5027
80,31.7019,-1.9919
81,,-1.7869
82,32.8536,-1.3555
83,33.4217,-0.6837
84,33.5223,0.2163
85,33.8787,0.8753
86,34.3247,1.6185
87,34.9373,2.1057
88,35.2493,2.3784
89,35.5205,2.4153
90,36.077,2.2395
91,36.4146,2.0237
92,36.9453,1.6466
93,37.0947,0.9355
94,37.5509,0.0611
95,37.9412,-0.5421
96,38.1805,-1.2159
97,38.8444,-1.9259
98,39.2392,-2.241
99,39.6008,-2.4679
100,39.9648,-2.5844
